Zone;Variable;2015;2017;Country
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Albania
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Algeria
FAO Major Fishing Area: Pacific, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;American Samoa
FAO Major Fishing Area: Atlantic, Southeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);67.65;67.65;Angola
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Anguilla
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Antigua and Barbuda
FAO Major Fishing Area: Atlantic, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);41.18;46.67;Argentina
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Aruba
FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.08;68.63;Australia
FAO Major Fishing Area: Pacific, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;Australia
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Australia
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Bahamas
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Bahrain
FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.08;68.63;Bangladesh
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Barbados
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Belgium
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Belize
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Benin
FAO Major Fishing Area: Atlantic, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.91;56.25;Bermuda
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Bonaire
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Bosnia and Herzegovina
FAO Major Fishing Area: Atlantic, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);41.18;46.67;Brazil
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;British Virgin Islands
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Brunei Darussalam
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Bulgaria
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Cabo Verde
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Cambodia
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Cameroon
FAO Major Fishing Area: Atlantic, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.91;56.25;Canada
FAO Major Fishing Area: Pacific, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;Canada
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Cayman Islands
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Chagos Archipelago
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Channel Islands
FAO Major Fishing Area: Pacific, Southeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;Chile
FAO Major Fishing Area: Pacific, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.69;65.38;China
FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.08;68.63;Christmas Island
FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.08;68.63;Cocos (Keeling) Islands
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Colombia
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Colombia
FAO Major Fishing Area: Pacific, Southeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;Colombia
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Comoros
FAO Major Fishing Area: Pacific, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;Cook Islands
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Costa Rica
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Costa Rica
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Cote d'Ivoire
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Croatia
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Cuba
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Curacao
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Cyprus
FAO Major Fishing Area: Pacific, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.69;65.38;Democratic People's Republic of Korea
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Democratic Republic of the Congo
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Denmark
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Djibouti
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Domicia
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Dominician Republic
FAO Major Fishing Area: Pacific, Southeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;Ecuador
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Egypt
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Egypt
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;El Salvador
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Equatorial Guinea
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Eritrea
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Estonia
FAO Major Fishing Area: Atlantic, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);41.18;46.67;Falkland Islands
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Faroe Island
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Fiji
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Finland
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;France
FAO Major Fishing Area: Atlantic, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);41.18;46.67;French Guiana
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Guadeloupe
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Reunion
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;France
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;French Polynesia
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Gabon
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Gambia
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Georgia
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Germany
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Ghana
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Ghana
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Greece
FAO Major Fishing Area: Atlantic, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.91;56.25;Greenland
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Grenada
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Guernsey
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Guatemala
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Guatemala
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Guinea
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Guinea-Bissau
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Guyana
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Haiti
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Honduras
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Honduras
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Iceland
FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.08;68.63;India
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;India
FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.08;68.63;Indonesia
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Indonesia
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Iran
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Iraq
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Ireland
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Isle of Man
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Jersey
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Israel
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Italy
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Jamaica
FAO Major Fishing Area: Pacific, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.69;65.38;Japan
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Kenya
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Kiribati
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Kuwait
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Latvia
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Lebanon
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Liberia
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Lithuania
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Lybia
