COD;Name;MEAN_2001;MEAN_2012;Area_sq_Km
AFG;Afghanistan;9.12;9.12;641843
AGO;Angola;1.58;1.87;1244670
ALB;Albania;12.29;12.31;28373
AND;Andorra;6.71;6.69;443
ARE;United Arab Emirates;2.69;2.67;71114
ARG;Argentina;2.01;2.21;2782450
ARM;Armenia;2.44;2.47;29591
ATG;Antigua and Barbuda;7.46;7.43;431
AU1;Australia;0.75;0.75;7691847
AUT;Austria;2.32;2.35;84148
AZE;Azerbaijan;2.36;2.38;86501
BDI;Burundi;34.37;37.12;27087
BEL;Belgium;0.36;0.36;30739
BEN;Benin;3.77;4.23;116105
BFA;Burkina Faso;2.76;3.39;272627
BGD;Bangladesh;10.15;9.84;135340
BGR;Bulgaria;1.85;1.73;112610
BHR;Bahrain;1.11;1.11;540
BHS;The Bahamas;1.52;1.57;12640
BIH;Bosnia and Herzegovina;4.98;5.02;51790
BLR;Belarus;0.18;0.17;207561
BLZ;Belize;1.08;1.27;22705
BOL;Bolivia;4.42;4.7;1086620
BRA;Brazil;3.91;4.32;8467100
BRB;Barbados;9.47;7.53;388
BRN;Brunei;0.43;0.52;5647
BTN;Bhutan;8.87;8.36;39811
BWA;Botswana;0.54;0.55;579137
CAF;Central African Republic;0.79;0.77;618323
CAN;Canada;1.25;1.26;9923080
CH1;China;6.54;6.4;9374069
CHE;Switzerland;5.65;5.66;41316
CHL;Chile;5.82;5.81;737678
CIV;Ivory Coast;3.02;3.31;320935
CMR;Cameroon;5.34;5.65;463871
COD;Democratic Republic of the Congo;1.85;1.97;2324450
COG;Republic of the Congo;2.02;2.11;345334
COL;Colombia;2.95;2.81;1134460
COM;Comoros;35.82;35.6;1580
CRI;Costa Rica;3.51;3.86;51303
CUB;Cuba;7.77;6.39;109005
CYP;Cyprus;1.64;1.58;5708
CZE;Czechia;0.67;0.65;78744
DEU;Germany;0.35;0.36;357458
DJI;Djibouti;11.64;11.66;21619
DMA;Dominica;2.5;2.71;695
DN1;Denmark;0.19;0.19;2215070
DOM;Dominican Republic;9.31;8.36;48440
DZA;Algeria;2.55;2.55;2319300
ECU;Ecuador;5.56;5.32;254528
EGY;Egypt;0.26;0.27;1001770
ERI;Eritrea;11.55;11.89;123243
ESP;Spain;2.2;2.17;506733
EST;Estonia;0.09;0.09;45695
ETH;Ethiopia;9.83;12.6;1127090
FI1;Finland;0.04;0.04;333377
FJI;Fiji;12.88;12.73;18346
FR1;France;1.29;1.28;664689
FSM;Federated States of Micronesia;3.74;3.75;522
GAB;Gabon;1.23;1.25;259499
GB1;United Kingdom;1.07;1.09;257839
GEO;Georgia;3.21;2.6;69414
GHA;Ghana;5.45;6.14;238559
GIN;Guinea;5.24;6.14;243939
GMB;Gambia;2.11;2.99;10275
GNB;Guinea-Bissau;1.28;1.28;31931
GNQ;Equatorial Guinea;0.85;0.87;26525
GRC;Greece;4.13;4.01;130276
GRD;Grenada;10.53;9.57;285
GTM;Guatemala;10.77;11.42;108102
GUY;Guyana;0.39;0.38;211022
HND;Honduras;10.54;10.95;113106
HRV;Croatia;1.85;1.9;54544
HTI;Haiti;48.93;53.6;26723
HUN;Hungary;0.73;0.7;93213
IDN;Indonesia;5.01;6.11;1863910
IND;India;9.52;9.47;3148260
IRL;Ireland;0.9;0.87;68983
IRN;Iran;2.16;2.14;1621840
IRQ;Iraq;2.64;2.66;437238
IS1;Israel;3.3;3.05;28594
ISL;Iceland;6.03;6.02;101825
ITA;Italy;4.6;4.03;300794
JAM;Jamaica;8.02;7.11;10897
JOR;Jordan;0.94;0.95;88781
JPN;Japan;4.55;4.43;370276
KAS;Kashmir;58.68;58.68;2118
KAZ;Kazakhstan;0.31;0.31;2720700
KEN;Kenya;5.17;5.49;592189
KGZ;Kyrgyzstan;10.68;10.65;198927
KHM;Cambodia;4.12;4.59;180670
KIR;Kiribati;1.05;1.05;933
KNA;Saint Kitts and Nevis;14.7;10.58;232
KOR;South Korea;9.7;9.15;97173
KOS;Kosovo;4.73;4.78;10930
KWT;Kuwait;0.41;0.41;17308
LAO;Laos;4.24;5.14;228232
LBN;Lebanon;8.76;8.64;10008
LBR;Liberia;0.65;0.83;95256
LBY;Libya;0.42;0.42;1623740
LCA;Saint Lucia;3.25;2.77;549
LIE;Liechtenstein;2.07;2.08;138
LKA;Sri Lanka;3.36;3.78;65763
LSO;Lesotho;15.54;14.58;29991
LTU;Lithuania;0.16;0.19;64815
LUX;Luxembourg;0.75;0.77;2621
LVA;Latvia;0.12;0.13;64577
MAR;Morocco;5.64;5.65;581713
MCO;Monaco;3.36;3.35;12
MDA;Moldova;2.07;2.03;33208
MDG;Madagascar;7.65;7.92;592826
MDV;Maldives;1.23;1.23;66
MEX;Mexico;5.6;5.6;1957880
MHL;Marshall Islands;0.67;0.67;236
MKD;North Macedonia;4.41;3.61;25400
MLI;Mali;1.81;2.05;1254110
MLT;Malta;5.9;5.9;274
MMR;Myanmar;4.1;4.62;660976
MNE;Montenegro;7.43;7.61;13690
MNG;Mongolia;1.43;1.43;1564520
MOZ;Mozambique;2.23;2.65;788095
MRT;Mauritania;1.95;1.95;1035380
MUS;Mauritius;27.84;24.83;1874
MWI;Malawi;15.29;18.57;119344
MYS;Malaysia;1.57;1.95;326201
NAM;Namibia;2.42;2.41;822524
NER;Niger;2.57;2.65;1181190
NGA;Nigeria;7.05;7.11;907833
NIC;Nicaragua;14.98;12.84;128751
NL1;Netherlands;0.16;0.17;37900
NOR;Norway;2.93;2.93;386812
NPL;Nepal;22.95;21.68;146976
NRU;Nauru;14.38;14.38;28
NZ1;New Zealand;3.17;2.94;267499
OMN;Oman;12.13;12.13;311196
PAK;Pakistan;13.5;13.26;872776
PAN;Panama;8;8.89;73935
PER;Peru;6.56;6.74;1291020
PHL;Philippines;14.37;15.6;289182
PLW;Palau;0.01;0.01;339
PNG;Papua New Guinea;1.33;1.44;462301
POL;Poland;0.32;0.28;313755
PRK;North Korea;14.44;14.58;122627
PRT;Portugal;1.29;1.19;90845
PRY;Paraguay;1.94;2.59;399948
QAT;Qatar;0.75;0.75;11052
ROU;Romania;1.29;1.23;236343
RUS;Russia;0.97;0.97;16973500
RWA;Rwanda;40.59;45.23;25273
SAH;Western Sahara;0.03;0.03;90593
SAU;Saudi Arabia;2.4;2.34;1921560
SDN;Sudan;1.74;1.82;1856670
SDS;South Sudan;0.8;0.87;621318
SEN;Senegal;1.15;1.19;196608
SGP;Singapore;8.22;8.18;483
SLB;Solomon Islands;0.95;1.18;25634
SLE;Sierra Leone;4.16;6.65;71576
SLV;El Salvador;30.46;30.5;20316
SMR;San Marino;16.26;12.21;68
SOL;Somaliland;4.99;4.99;167803
SOM;Somalia;1.6;1.6;471552
SRB;Republic of Serbia;1.65;1.67;77648
STP;Sao Tome and Principe;13.46;13.42;981
SUR;Suriname;0.2;0.2;144934
SVK;Slovakia;0.7;0.7;48489
SVN;Slovenia;2.08;2.09;20245
SWE;Sweden;0.2;0.2;445654
SWZ;eSwatini;8.72;8.62;16962
SYC;Seychelles;16.5;15;174
SYR;Syria;2.72;2.94;185729
TCD;Chad;1.17;1.25;1266550
TGO;Togo;12.31;13.44;56901
THA;Thailand;6.89;7.46;513909
TJK;Tajikistan;17.81;17.89;142396
TKM;Turkmenistan;0.81;0.81;471028
TLS;East Timor;19.66;20.31;14958
TON;Tonga;10.11;10.4;430
TTO;Trinidad and Tobago;2.12;1.98;5082
TUN;Tunisia;2.77;2.77;156617
TUR;Turkey;3.48;3.01;780463
TWN;Taiwan;5.09;5.19;35909
TZA;United Republic of Tanzania;4.52;5.97;941734
UGA;Uganda;8.56;9.73;241474
UKR;Ukraine;0.67;0.67;571976
URY;Uruguay;1.06;1.38;177464
US1;United States of America;2.45;2.18;9465983
UZB;Uzbekistan;1.15;1.15;448023
VCT;Saint Vincent and the Grenadines;5.12;5.23;310
VEN;Venezuela;1.63;1.65;910439
VNM;Vietnam;19.44;21.64;327849
VUT;Vanuatu;1.9;2.03;11254
WSM;Samoa;2.18;1.9;2692
YEM;Yemen;13.4;13.31;452565
ZAF;South Africa;3.68;3.37;1220030
ZMB;Zambia;1.67;1.92;752773
ZWE;Zimbabwe;4.42;4.7;388994
