SDG;SDG target;SDG indicator;Indicator Code;Indicator name;Geographical area code;Geographical area name;Year;Value;Time detail;Source;Footnote;Type of data;Units;Age group;Bounds;Frequency;Level/Status;Location;Type of reporting;Sex;SDG 6 Data portal level
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);region_sdg;Europe and Northern America;2017;70.6;2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Austria;2017;91.9;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Bosnia and Herzegovina;2017;100;2009-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Botswana;2017;94.4;2011-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Brazil;2017;33.6;2010-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Bulgaria;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Cyprus;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Czechia;2017;0;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Estonia;2017;100;2010-2013;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Fiji;2017;100;2014-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Finland;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;France;2017;99.3;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Germany;2017;72.4;2014-2014;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Greece;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Hungary;2017;41.8;2009-2012;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Iceland;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Ireland;2017;45.8;2010-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Japan;2017;75;2012-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Jordan;2017;90;2015-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Kenya;2017;0;2011-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Republic of Korea;2017;0;2015-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Lebanon;2017;0;1990-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Lesotho;2017;0;2016-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Latvia;2017;59.3;2010-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Lithuania;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Madagascar;2017;94.6;2015-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Montenegro;2017;100;2016-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Morocco;2017;85.9;2016-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Namibia;2017;60;2008-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Netherlands;2017;99;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;New Zealand;2017;87.6;2009-2013;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Nigeria;2017;41;2014-2014;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Norway;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Marshall Islands;2017;100;2016-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Poland;2017;38.5;2010-2012;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Romania;2017;62.6;2016-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Russian Federation;2017;83.3;2015-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Rwanda;2017;0;2016-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Singapore;2017;100;2015-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Slovakia;2017;0;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Slovenia;2017;9.1;2014-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;South Africa;2017;62.5;2014-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;South Sudan;2017;100;2010-2012;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Sudan;2017;70;2016-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Sweden;2017;48.9;2010-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;United Arab Emirates;2017;0;2005-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;Uganda;2017;100;2012-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;North Macedonia;2017;0;2010-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;United Kingdom of Great Britain and Northern Ireland;2017;99.4;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_OPAMBQ;Proportion of open water bodies with good ambient water quality (%);Country;United Republic of Tanzania;2017;0;2014-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Open water bodies
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);region_sdg;Europe and Northern America;2017;77.1;2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);World;World;2017;;2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Andorra;2017;100;2016-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Austria;2017;80.1;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Bosnia and Herzegovina;2017;4.9;2009-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Botswana;2017;94.7;2011-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Brazil;2017;71.5;2010-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Bulgaria;2017;99.1;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Chile;2017;85.6;2015-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Cyprus;2017;94.3;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Czechia;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;El Salvador;2017;43.3;2006-2013;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Estonia;2017;100;2010-2013;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Fiji;2017;100;2014-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Finland;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;France;2017;97.8;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Germany;2017;35.1;2014-2014;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Greece;2017;94.6;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Hungary;2017;53.6;2009-2012;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Iceland;2017;100;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Ireland;2017;56.7;2010-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Jamaica;2017;92.1;2014-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Japan;2017;30;2012-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Jordan;2017;66.7;2015-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Kenya;2017;30.5;2011-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Republic of Korea;2017;82.6;2015-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Lebanon;2017;50;1990-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Lesotho;2017;33.3;2016-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Latvia;2017;67.8;2010-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Liechtenstein;2017;77.8;2016-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Lithuania;2017;99.3;2013-2015;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Madagascar;2017;94.1;2015-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Montenegro;2017;100;2016-2016;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
;;6.3.2;EN_H2O_RVAMBQ;Proportion of river water bodies with good ambient water quality (%);Country;Morocco;2017;76.1;2016-2017;World Environment Situation Room;;C;Percentage;;;;;;;;6.3.2 Level 1 Proportion of bodies of water with good ambient water quality > Rivers
